id,code,name,class_div,danger_sec,group_env_onu,group_env_onu_disp_esp,qty_limit,qty_except,int_emb_env,int_emb_env_disp_esp,int_trasp,int_trasp_disp_esp,start_date
waybill_materiales_peligrosos_00,M0001,"PICRATO AMÓNICO seco o humedecido con menos del 10 %, en masa, de agua (Producto o material explosivo)",1.1D,,,,0,E0,"P112 (a)
P112 (b)
P112 (c)",PP26,,,2021-06-01
waybill_materiales_peligrosos_01,M0002,"CARTUCHOS PARA ARMAS, con carga explosiva (Producto o material explosivo)",1.1 F,,,,0,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_02,M0003,"CARTUCHOS PARA ARMAS, con carga explosiva (Producto o material explosivo)",1.1E,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_03,M0004,"CARTUCHOS PARA ARMAS, con carga explosiva (Producto o material explosivo)",1.2 F,,,,0,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_04,M0005,"MUNICIONES INCENDIARIAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.2G,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_05,M0006,"MUNICIONES INCENDIARIAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.3G,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_06,M0007,"CARTUCHOS PARA ARMAS, CON PROYECTIL INERTE, o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE (Producto o material explosivo)",1.4S,,,364,5 kg,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_07,M0008,"CARTUCHOS DE FOGUEO PARA ARMAS, , o CARTUCHOS DE FOGUEO PARA ARMAS DE PEQUEÑO CALIBRE, o CARTUCHOS SIN CARGA PARA HERRAMIENTAS (Producto o material explosivo)",1.4S,,,364,5 kg,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_08,M0009,"MUNICIONES FUMÍGENAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.2G,,,204,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_09,M0010,"MUNICIONES FUMÍGENAS con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.3G,,,204,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_10,M0011,"MUNICIONES LACRIMÓGENAS con carga dispersora, carga expulsora o carga propulsora  (Producto o material explosivo)",1.2G,"6.1
8",,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_11,M0012,"MUNICIONES LACRIMÓGENAS con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.3G,"6.1
8",,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_12,M0013,"MUNICIONES TÓXICAS con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.2K,6.1,,274,0,E0,P101,,,,2021-06-01
waybill_materiales_peligrosos_13,M0014,"MUNICIONES TÓXICAS con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.3K,6.1,,274,0,E0,P101,,,,2021-06-01
waybill_materiales_peligrosos_14,M0015,PÓLVORA NEGRA (PÓLVORA DE CAÑÓN) en forma de granos o polvo (Producto o material explosivo),1.1D,,,,0,E0,P113,PP50,,,2021-06-01
waybill_materiales_peligrosos_15,M0016,PÓLVORA NEGRA (PÓLVORA DE CAÑÓN) COMPRIMIDA o PÓLVORA NEGRA (PÓLVORA DE CAÑÓN) EN COMPRIMIDOS (Producto o material explosivo),1.1D,,,,0,E0,P113,PP51,,,2021-06-01
waybill_materiales_peligrosos_16,M0017,DETONADORES NO ELÉCTRICOS para voladuras (Producto o material explosivo),1.1B,,,,0,E0,P131,PP68,,,2021-06-01
waybill_materiales_peligrosos_17,M0018,DETONADORES ELÉCTRICOS para voladuras (Producto o material explosivo),1.1B,,,,0,E0,P131,,,,2021-06-01
waybill_materiales_peligrosos_18,M0019,BOMBAS con carga explosiva (Producto o material explosivo),1.1 F,,,,0,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_19,M0020,BOMBAS con carga explosiva (Producto o material explosivo),1.1D,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
